id_comentario	comentario	rotulo
UgxGxuYcGTJ64n5USal4AaABAg	 vamos preservar o nome dela so mostraremos o rosto para nao ser identificada   oi 	0
UgwPCNhxQxaJn0sqDh14AaABAg	boom trabalho da policia	1
Ugw3vClEkNEfSaXP_ep4AaABAg	parabens  guerreiro  guardarei  para sem essas imagens  q vc sai do carro convocado  o povo para saber  a verdade verdade  essa q so  falaria  alguem  igual  a vc n  por surto psicotico  mais por amor a populacao nao  te conhecer  mais estou ilutada  por tanta crueldade parabens  vc se foi lutando  por uma patria  melhor minhas condolencias  a familia  ilutada pq aos irmaos  de farda so deus  para ter misericordia	1
UgxT5nbHfNy4Ewwa35V4AaABAg	isso  e uma vegonha  para  nossa  brasil      os policiais  militares   mata  o proprio   colega    so   por  um  sustou          nao  precisavam   mata o policia   so   atira   com bala  de  tranquilizante  para ele  dormir         vou  fazer  um apelo  para   presidente  bolsonaro      mandar   a  policia   federal      ira  prede   os   gorvanado  da bahia    os  comodante  da policia militar    inteira    e  de  todos  e volvidos  da correcia    do  policia    todos  presos   e  todos espuso  da  policia       da bahia   os comodante  tambem    preso         e  isso  que  bolsonaro  como  presidente  do brasil   tem  que  fazer  agora    poni todos  em volvidos  nessa  tragedia    e   vergonha  para o nosso  brasil  	-1
UgyaxHPl-ZWCIhao2yd4AaABAg	surtou uma ova cansou de vestir essa farda e agir como capacho de canalhas contra seu povo no qual jurou lealdade kd os outros covardes que com armas na mao sao machao vcs sao uma vergonha junto com esse nosso presidente covarde	-1
UgyHVFMWOSpKN6rm3eh4AaABAg	nossa orgulho tem todo merito e honra uma policial de verdade e uma heroinamuitas palmasmuitas que lindacomo concurseira ela concerteza e minha inspiracao e que existe sim grandes herois policiaistem que mostra mas isso pra sociedade	1
UgxapTVUx6zpX0GwWAN4AaABAg	mulher empoderada	0
Ugw16EFw-ZRB1RHb4Vh4AaABAg.9LU1dRshRvm9LUmFI-mJKa	nazareno dantas agora tudo e bolsonaro voces tem amor por ele cara kkkk	0
Ugw7bSTzSiSZPTy1ooh4AaABAg	tambem com esse peso kkkkkk	0
UgwHacx0gQHg4iyIjK54AaABAg	qualquer semelhanca com o policial   venezuelano oscar peres e mera coincidencia o sistema e foda qualquer um que se levante contra sera esmagado	0
UgxijaT3ouPuJtFKR7R4AaABAg	e de cortar o coracao	0
UgyfaewRMecKyUxMLnF4AaABAg	nao e o proprio lixo da rede globo	0
